,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,SN,,,,N,,,,MEI,,,,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,DÉBITO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,,,,
,101M,Análise e desenvolvimento de sistemas.,1,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,102M,Programação.,2,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,103M-Processamento,Processamento de dados e congêneres.,3,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,103M-Consultoria,Processamento de dados e congêneres.,3,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,"Somente no  caso de prestação de serviços de consultoria e assessoramento em processamento de programas e dados, é cabível a retenção 1,50% 1708","Quando  serviços  de processamento de dados no gerenciamento de ambiente A/400 e operaçao de sistemas, quando  executado mediante cessao de maos de obra  e serviços de consultoria e assessoramento.- 5952",,,
,104M,"Elaboração de programas de computadores, inclusive de jogos eletrônicos.",4,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,105M,Licenciamento ou cessão de direito de uso de programas de computação.,5,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,106M,Assessoria e consultoria em informática.,6,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,107M,"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.",7,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,"Sim, mas  somente quando houver prestação de serviço de instalação e manutenção de equipamentos de informática, a supervisão de rede, de banco de dados e internet, no local ou por conexão remota, quando indispensáveis ao funcionamento regular e permanente da empresa e desde que a contratada disponibilize equipe sempre pronta para atender às necessidades da empresa contratante.Soluçao consulta 211/2010",,
,108M,"Planejamento, confecção, manutenção e atualização de páginas eletrônicas.",8,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,109M,"Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei 12.485 de 12/09/2011 -ICMS(",9,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,201M,Serviços de pesquisas e desenvolvimento de qualquer natureza.,10,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,302M,Cessão de direito de uso de marcas e de sinais de propaganda.,11,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,303M,"Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.",12,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,304M,"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.",13,"1,00%",NT,NT,NT,"3,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
