,CADASTRO DE FORNECEDORES,,,
,,,,
,CNPJ PRESTADOR,NOME PRESTADOR,CIDADE,REGIME DE TRIBUTAÇÃO
, 00.783.512/0001-71,AGUAJATO TRANSPORTES,Campinas,N
, 00.973.749/0008-91,TOP SERVICE SERVIÇOS E SISTEMAS,São Paulo,N
, 02.125.806/0001-31,ISO CLEAN SERVS,Campinas,N
, 03.737.433/0001-12,IZIQUE CHEBABI ADVOGADOS ASSOCIADOS,Campinas,N
, 04.022.542/0001-16,LOJA DE FLORES FLORA NATIVA,Campinas,SN
, 04.171.357/0001-93,CENTER & COPIAS DE CAMPINAS LTDA EPP,Campinas,SN
, 04.601.584/0001-01,INVEST GERENCIAMENTO IMOB E SERV,Campinas,N
, 04.825.080/0001-75,SANTOS & YAMAZAKI,Campinas,SN
, 06.082.708/0001-15,"CONT-PAZ SOLUÇÕES FISCAIS, CONTABEIS E SOCIETARIAS",Campinas,SN
, 06.193.748/0001-34,FAVERO E ESTEVES EQUIPAMENTOS DE SEGURANÇA,Campinas,SN
, 07.060.294/0001-96,VORTEX ADMINISTRADORA DE CONDOMINIOS E SOLUÇÕES IMOBILIARIAS,Campinas,SN
, 07.252.146/0001-73,COMERC ENERGIA,São Paulo,N
, 07.670.054/0001-03,JULIANO ZANELLA PAISAGISMO,Campinas,SN
, 08.347.366/0001-43,VERZANI & SANDRINI ADM DE MÃO DE OBRA EFETIVA,Santo André,N
, 08.375.845/0001-73,SILVIA ANGELICA ALVES DE AGUIRRA,Campinas,SN
, 08.693.477/0001-01,ALMEIDA CONTIERI CONSUKTORIA EM GESTÃO EMPRESARIAL,Campinas,SN
, 09.175.420/0001-83,LS SERVIÇOS ESPECIALIZADOS,Campinas,SN
, 10.321.234/0001-94,LUCAS NOGUEIRA MARÇAL VENTURA DO ROSÁRIO E SILVA,Osasco,N
, 10.556.100/0001-52,DORICA INSTALAÇÃO E MANUTENÇÃO,Porto Alegre,N
, 10.857.182/0001-75,SIS - SEGURANÇA ELETRONICA E CONTROLE DE ACESSO,Indaiatuba,N
, 11.727.465/0001-65,ALEXANDRE & TRINDADE COMERCIO E INSTALAÇÃO DE FILTROS DE ÁGUA,Campinas,SN
, 12.162.322/0001-16,ALLIANCE M K CONTROLE DE PRAGAS E SERVIÇOS,Porangaba,SN
, 12.375.875/0001-57,"ATGB - INSTALAÇÃO, MANUTENÇÃO EM SISTEMAS DE SEGURANÇA",Campinas,N
, 14.846.127/0001-30,JS MANUTENÇÃO DE FACHADA,São Paulo,SN
, 18.050.397/0001-91,GLAUBER JULIANO CARLOS,Campinas,SN
, 18.798.141/0001-67,LM PELICULAS PROTETORA,Campinas,SN
, 19.174.461/0001-09,VINICAR SERVIÇOS DE ESTACIONAMENTO,Campinas,SN
, 22.577.099/0001-21,KELLY TATIANA MONTEIRO HILARA,Campinas,SN
, 24.755.223/0001-27,EMANUELA DE ALMEIDA MASSINI RODRIGUES,Campinas,MEI
, 28.666.327/0001-16,MINHA OBRA SEGURA ENGENHARIA,Campinas,SN
, 29.383.571/0001-34,MONICA KELLY PEREIRA DA SILVA NETO,Campinas,SN
, 29.739.737/0018-50,ELEVADORES OTIS,Campinas,N
, 31.521.468/0001-55,IC PEST CONTROL CONTROLE DE PRAGAS E SERVIÇOS ADMINISTRATIVOS,Indaiatuba,SN
, 31.636.668/0001-53,DINORAH NASCIMENTO DOS SANTOS,São Paulo,SN
, 32.079.514/0001-70,DANIELLE THAMIE TAKAHASHI NEVES,Campinas,MEI
, 32.210.010/0001-48,WILLIAM HENRIQUE DE MORAES,Campinas,MEI
, 32.623.320/0001-94,RONEY SOUZA DE OLIVEIRA,Hortolândia,SN
, 33.143.043/0001-85,EDIMILSON BISPO DAMASCENO FILHO,Campinas,MEI
, 35.152.432/0001-00,SINDSOLUTIONS SOLUÇÕES ADMINISTRATIVAS,Valinhos,SN
, 35.646.198/0001-60,ELLEN SIMÕES JACINTHO,Campinas,MEI
, 35.790.535/0001-98,LEONARDO DE ARAUJO ROMAO,Campinas,MEI
, 35.847.158/0001-86,ELISANGELA PEREIRA ARAUJO,Campinas,SN
, 37.328.334/0001-07,DAVID DE OLIVEIRA ROCHA,Campinas,MEI
, 39.601.779/0001-36,RAFAEL CARVALHO DA SILVA,Campinas,MEI
, 40.116.595/0001-60,DANIEL MORAES DE MELO,Campinas,MEI
, 44.016.707/0001-61,NCH BRASIL,Sorocaba,N
, 46.124.624/0001-11,UNIMED CAMPINAS COOPERATIVA DE TRABALHO,Campinas,N
, 48.856.942/0001-00,SALVADOR MUNHOZ MANUTENÇÃO DE MOTORES,Campinas,N
, 49.637.473/0001-93,LEMOS E ASSOCIADOS - ADVOCACIA,Campinas,N
, 57.788.218/0001-70,PRO JARDIM PAISAGISMO E JARDINAGEM,Campinas,SN
, 58.435.827/0001-08,SEITEC GERADORES COMERCIO E INDUSTRIA,São Paulo,SN
, 64.179.724/0001-27,VERZANI & SANDRINI ADM DE MÃO DE OBRA EFETIVA,Santo André,N
, 87.169.900/0001-45,GRABER SISTEMA DE SEGURANÇA,São Paulo,N
